Question,Label
What is the average sales by region?,SQL
Create a bar chart for monthly sales data.,Visualization
Show the top 10 customers by revenue.,SQL
Plot temperature trends over the last year.,Visualization
Display sales data as a line graph.,Visualization
Retrieve customer information from the database.,SQL
Generate a pie chart for product sales distribution.,Visualization
Calculate total revenue for each month.,SQL
What is the unemployment rate in 2022?,SQL
Show how inflation rate has changed over the years.,Visualization
